#########################
# Node Module: "."
#########################
"License","Count"
"(MIT OR Apache-2.0)","1"
"(MIT OR CC0-1.0)","5"
"(MIT OR GPL-3.0-or-later)","1"
"0BSD","2"
"Apache-2.0","118"
"BSD-2-Clause","11"
"BSD-3-Clause","18"
"CC-BY-3.0","1"
"CC-BY-4.0","1"
"CC0-1.0","1"
"ISC","48"
"MIT","514"
"MIT*","1"
"Python-2.0","1"
#########################
# Python Module: "./src/lambda-layer/common"
#########################
"License","Count"
"Apache Software License","3"
"Apache Software License; BSD License","2"
"BSD License","3"
"MIT License","3"
